,Accident_ID,Severity
0,1,Highly_Fatal_And_Damaging
1,10,Significant_Damage_And_Fatalities
2,14,Significant_Damage_And_Serious_Injuries
3,17,Highly_Fatal_And_Damaging
4,21,Highly_Fatal_And_Damaging
5,40,Significant_Damage_And_Fatalities
6,45,Significant_Damage_And_Fatalities
7,50,Highly_Fatal_And_Damaging
8,52,Highly_Fatal_And_Damaging
9,85,Significant_Damage_And_Serious_Injuries
10,95,Significant_Damage_And_Serious_Injuries
11,106,Significant_Damage_And_Serious_Injuries
12,111,Highly_Fatal_And_Damaging
13,123,Significant_Damage_And_Serious_Injuries
14,129,Significant_Damage_And_Fatalities
15,130,Significant_Damage_And_Serious_Injuries
16,132,Highly_Fatal_And_Damaging
17,137,Highly_Fatal_And_Damaging
18,159,Minor_Damage_And_Injuries
19,161,Significant_Damage_And_Fatalities
20,162,Highly_Fatal_And_Damaging
21,166,Significant_Damage_And_Serious_Injuries
22,170,Significant_Damage_And_Fatalities
23,173,Highly_Fatal_And_Damaging
24,177,Highly_Fatal_And_Damaging
25,180,Significant_Damage_And_Fatalities
26,182,Highly_Fatal_And_Damaging
27,183,Highly_Fatal_And_Damaging
28,184,Significant_Damage_And_Fatalities
29,188,Significant_Damage_And_Serious_Injuries
30,190,Significant_Damage_And_Fatalities
31,191,Significant_Damage_And_Serious_Injuries
32,201,Minor_Damage_And_Injuries
33,203,Highly_Fatal_And_Damaging
34,206,Highly_Fatal_And_Damaging
35,217,Minor_Damage_And_Injuries
36,220,Highly_Fatal_And_Damaging
37,221,Minor_Damage_And_Injuries
38,225,Highly_Fatal_And_Damaging
39,229,Significant_Damage_And_Serious_Injuries
40,231,Minor_Damage_And_Injuries
41,232,Significant_Damage_And_Serious_Injuries
42,234,Significant_Damage_And_Fatalities
43,236,Significant_Damage_And_Fatalities
44,237,Significant_Damage_And_Fatalities
45,240,Highly_Fatal_And_Damaging
46,245,Minor_Damage_And_Injuries
47,250,Minor_Damage_And_Injuries
48,252,Highly_Fatal_And_Damaging
49,254,Significant_Damage_And_Serious_Injuries
50,261,Minor_Damage_And_Injuries
51,265,Highly_Fatal_And_Damaging
52,266,Significant_Damage_And_Fatalities
53,271,Highly_Fatal_And_Damaging
54,273,Highly_Fatal_And_Damaging
55,274,Minor_Damage_And_Injuries
56,275,Highly_Fatal_And_Damaging
57,280,Minor_Damage_And_Injuries
58,285,Highly_Fatal_And_Damaging
59,292,Highly_Fatal_And_Damaging
60,304,Minor_Damage_And_Injuries
61,311,Minor_Damage_And_Injuries
62,316,Significant_Damage_And_Fatalities
63,317,Highly_Fatal_And_Damaging
64,318,Significant_Damage_And_Serious_Injuries
65,321,Significant_Damage_And_Serious_Injuries
66,322,Highly_Fatal_And_Damaging
67,327,Significant_Damage_And_Fatalities
68,332,Significant_Damage_And_Serious_Injuries
69,338,Minor_Damage_And_Injuries
70,356,Highly_Fatal_And_Damaging
71,364,Highly_Fatal_And_Damaging
72,372,Highly_Fatal_And_Damaging
73,379,Significant_Damage_And_Fatalities
74,380,Highly_Fatal_And_Damaging
75,384,Highly_Fatal_And_Damaging
76,388,Minor_Damage_And_Injuries
77,390,Significant_Damage_And_Fatalities
78,401,Minor_Damage_And_Injuries
79,408,Highly_Fatal_And_Damaging
80,413,Highly_Fatal_And_Damaging
81,416,Highly_Fatal_And_Damaging
82,426,Highly_Fatal_And_Damaging
83,428,Minor_Damage_And_Injuries
84,432,Minor_Damage_And_Injuries
85,433,Highly_Fatal_And_Damaging
86,437,Significant_Damage_And_Fatalities
87,440,Significant_Damage_And_Fatalities
88,444,Highly_Fatal_And_Damaging
89,447,Significant_Damage_And_Serious_Injuries
90,451,Minor_Damage_And_Injuries
91,461,Significant_Damage_And_Serious_Injuries
92,469,Minor_Damage_And_Injuries
93,470,Minor_Damage_And_Injuries
94,481,Minor_Damage_And_Injuries
95,483,Significant_Damage_And_Fatalities
96,490,Highly_Fatal_And_Damaging
97,491,Significant_Damage_And_Serious_Injuries
98,494,Highly_Fatal_And_Damaging
99,495,Significant_Damage_And_Serious_Injuries
100,497,Highly_Fatal_And_Damaging
101,504,Minor_Damage_And_Injuries
102,509,Highly_Fatal_And_Damaging
103,511,Minor_Damage_And_Injuries
104,513,Highly_Fatal_And_Damaging
105,514,Significant_Damage_And_Serious_Injuries
106,518,Minor_Damage_And_Injuries
107,520,Significant_Damage_And_Serious_Injuries
108,526,Significant_Damage_And_Fatalities
109,529,Minor_Damage_And_Injuries
110,530,Significant_Damage_And_Serious_Injuries
111,532,Minor_Damage_And_Injuries
112,536,Highly_Fatal_And_Damaging
113,543,Minor_Damage_And_Injuries
114,553,Highly_Fatal_And_Damaging
115,559,Significant_Damage_And_Serious_Injuries
116,561,Significant_Damage_And_Fatalities
117,563,Highly_Fatal_And_Damaging
118,566,Highly_Fatal_And_Damaging
119,593,Significant_Damage_And_Serious_Injuries
120,595,Significant_Damage_And_Serious_Injuries
121,597,Minor_Damage_And_Injuries
122,602,Significant_Damage_And_Serious_Injuries
123,604,Highly_Fatal_And_Damaging
124,615,Minor_Damage_And_Injuries
125,617,Highly_Fatal_And_Damaging
126,618,Minor_Damage_And_Injuries
127,622,Significant_Damage_And_Fatalities
128,626,Significant_Damage_And_Serious_Injuries
129,633,Minor_Damage_And_Injuries
